Time	Lead II
4.43	-0.0807072
4.44	-0.0716591
4.45	-0.0511052
4.46	-0.0800317
4.47	-0.0227834
4.48	-0.0388063
4.49	-0.0079595
4.5	0.0425369
4.51	0.0237322
4.52	0.0625156
4.53	0.0137812
4.54	-0.0128845
4.55	-0.0374489
4.56	-0.104768
4.57	-0.0768222
4.58	-0.113238
4.59	-0.110418
4.6	-0.102808
4.61	-0.0938107
4.62	0.170773
4.63	0.491764
4.64	0.611947
4.65	0.380275
4.66	0.0444708
4.67	-0.0557842
4.68	-0.103783
4.69	-0.0796579
4.7	-0.0475939
4.71	-0.0758525
4.72	-0.0287549
4.73	-0.0559574
4.74	-0.0484373
4.75	-0.026016
4.76	-0.0595751
4.77	-0.0143625
4.78	-0.0356558
4.79	-0.0201689
4.8	0.0112607
4.81	-0.0204803
4.82	0.028092
4.83	0.0146525
4.84	0.0419649
4.85	0.0881983
4.86	0.0780023
4.87	0.152725
4.88	0.150588
4.89	0.17222
4.9	0.203335
4.91	0.166927
4.92	0.198176
4.93	0.146648
4.94	0.118458
4.95	0.0970936
4.96	0.0225488
4.97	0.0342564
4.98	-0.0196361
4.99	-0.0310329
5	-0.019158
5.01	-0.0624707
5.02	-0.0247678
5.03	-0.0565474
5.04	-0.0520629
5.05	-0.0288993
5.06	-0.0651536
5.07	-0.0179837
5.08	-0.0399839
5.09	-0.0330925
5.1	-0.00737362
5.11	-0.0417926
5.12	-0.0024627
5.13	-0.0318055
5.14	-0.0252742
5.15	-0.00506994
5.16	-0.0457706
5.17	-0.00392216
5.18	-0.0344804
5.19	-0.0354478
5.2	-0.0119999
5.21	-0.058172
5.22	-0.0238301
5.23	-0.0532956
5.24	-0.0541314
5.25	-0.0342932
5.26	-0.0722316
5.27	-0.0278057
5.28	-0.0557454
5.29	-0.0552262
5.3	-0.0329142
5.31	-0.0738433
5.32	-0.0365663
5.33	-0.0727437
5.34	-0.0150807
5.35	-0.0101394
5.36	-0.0615076
5.37	-0.0312479
5.38	-0.0713757
5.39	-0.0502531
5.4	-0.0404106
5.41	-0.0743187
5.42	-0.0307646
5.43	-0.0656759
5.44	-0.0375236
5.45	-0.00972581
5.46	-0.0164839
5.47	0.0564231
5.48	0.0391186
5.49	0.0572048
5.5	0.0532593
5.51	-0.0083954
5.52	-0.00843376
5.53	-0.0819857
5.54	-0.0862332
5.55	-0.0858796
5.56	-0.1267
5.57	-0.0979881
5.58	-0.106847
5.59	0.0947336
5.6	0.465822
5.61	0.640519
5.62	0.490688
5.63	0.124381
5.64	-0.0492962
5.65	-0.0808305
5.66	-0.100024
5.67	-0.040409
5.68	-0.0695336
5.69	-0.0531229
5.7	-0.0402336
5.71	-0.071414
5.72	-0.0243326
5.73	-0.0557948
5.74	-0.0377052
5.75	-0.021115
5.76	-0.0466366
5.77	0.00447384
5.78	-0.0195024
5.79	0.00754831
5.8	0.0327913
5.81	0.0158733
5.82	0.0846493
5.83	0.0810547
5.84	0.128065
5.85	0.166079
5.86	0.150081
5.87	0.207706
5.88	0.181347
5.89	0.188269
5.9	0.175963
5.91	0.106945
5.92	0.110131
5.93	0.0324942
5.94	0.0140306
5.95	0.00411554
5.96	-0.0483541
5.97	-0.0195099
5.98	-0.0602147
5.99	-0.0487051
6	-0.0384095
6.01	-0.0733673
6.02	-0.0297733
6.03	-0.0621834
6.04	-0.0450935
6.05	-0.0264687
6.06	-0.0569343
6.07	-0.00854791
6.08	-0.0389152
6.09	-0.0243713
6.1	-0.0128261
6.11	-0.0489721
6.12	-0.00849944
6.13	-0.0448435
6.14	-0.0341406
6.15	-0.0218141
6.16	-0.0595168
6.17	-0.0165645
6.18	-0.0525889
6.19	-0.0481211
6.2	-0.0381325
6.21	-0.0738852
6.22	-0.0309561
6.23	-0.0629547
6.24	-0.0512919
6.25	-0.038365
6.26	-0.0759969
6.27	-0.032961
6.28	-0.0664676
6.29	-0.0536148
6.3	-0.0398645
6.31	-0.0776333
6.32	-0.0308087
6.33	-0.0631435
6.34	-0.0549592
6.35	-0.0412224
6.36	-0.076949
6.37	-0.0358198
6.38	-0.0699951
6.39	-0.058508
6.4	-0.0412387
6.41	-0.0757617
6.42	-0.0256754
6.43	-0.0442511
6.44	-0.0170308
6.45	0.0276962
6.46	0.0229618
6.47	0.0818386
6.48	0.04225
6.49	0.0283616
6.5	0.00682046
6.51	-0.0682041
6.52	-0.0542267
6.53	-0.101137
6.54	-0.0955266
6.55	-0.0875594
6.56	-0.130967
6.57	-0.00215725
6.58	0.238948
6.59	0.573556
6.6	0.595129
6.61	0.261855
6.62	0.0369837
6.63	-0.100307
6.64	-0.0918367
6.65	-0.050821
6.66	-0.0771106
6.67	-0.0337024
6.68	-0.0631026
6.69	-0.0479836
6.7	-0.0235999
6.71	-0.0624642
6.72	-0.022571
6.73	-0.04765
6.74	-0.0334825
6.75	-0.00762877
6.76	-0.0311071
6.77	0.0240085
6.78	0.00302922
6.79	0.0251662
6.8	0.0661147
6.81	0.0561058
6.82	0.128429
6.83	0.125667
6.84	0.156252
6.85	0.189659
6.86	0.162715
6.87	0.205805
6.88	0.16076
6.89	0.141095
6.9	0.12198
6.91	0.0411663
6.92	0.0441765
6.93	-0.0149822
6.94	-0.0279292
6.95	-0.0214596
6.96	-0.0654281
6.97	-0.028692
6.98	-0.0643427
6.99	-0.0614703
7	-0.0397122
7.01	-0.074414
7.02	-0.0262775
7.03	-0.0530462
7.04	-0.0432665
7.05	-0.0170483
7.06	-0.0508396
7.07	-0.0072085
7.08	-0.0340068
7.09	-0.024436
7.1	-0.00657447
7.11	-0.0502657
7.12	-0.00981559
7.13	-0.0407681
7.14	-0.0407825
7.15	-0.0257307
7.16	-0.0705726
7.17	-0.032033
7.18	-0.0642674
7.19	-0.0583076
7.2	-0.0379223
7.21	-0.0787807
7.22	-0.0381767
7.23	-0.0699014
7.24	-0.0691852
7.25	-0.047713
7.26	-0.0832346
7.27	-0.0405508
7.28	-0.0702821
7.29	-0.0690634
7.3	-0.0560196
7.31	-0.0985816
7.32	-0.0514997
7.33	-0.0762534
7.34	-0.0731129
7.35	-0.0537217
7.36	-0.0893765
7.37	-0.0397992
7.38	-0.052698
7.39	-0.0334786
7.4	0.00935335
7.41	0.00156754
7.42	0.0617563
7.43	0.0345477
7.44	0.0271301
7.45	0.0144081
7.46	-0.0699674
7.47	-0.0631252
7.48	-0.110968
7.49	-0.118294
7.5	-0.102871
7.51	-0.150886
7.52	-0.0571815
7.53	0.139948
7.54	0.480507
7.55	0.592636
7.56	0.304422
7.57	0.0632361
7.58	-0.0962061
7.59	-0.110576
7.6	-0.0677693
7.61	-0.0886683
7.62	-0.0395558
7.63	-0.0636735
7.64	-0.0591603
7.65	-0.0295226
7.66	-0.0651637
7.67	-0.01823
7.68	-0.0349334
7.69	-0.0273547
7.7	-0.00241216
7.71	-0.0404821
7.72	0.0102727
7.73	0.00312777
7.74	0.020477
7.75	0.0657177
7.76	0.0539516
7.77	0.123962
7.78	0.124214
7.79	0.146199
7.8	0.183862
7.81	0.154148
7.82	0.200882
7.83	0.168055
7.84	0.1407
7.85	0.126809
7.86	0.0511351
7.87	0.106343
7.88	0.02977
7.89	-0.00236028
7.9	-0.018064
7.91	-0.0592788
7.92	-0.0210218
7.93	-0.0630832
7.94	-0.0514429
7.95	-0.0419237
7.96	-0.0721309
7.97	-0.0264507
